Test Case Specification: Admin & System Management (v2.0),,,,,,,,,,,,
TC-USR-001,BR-001,FR-04,Create New User,ตรวจสอบความถูกต้องในการสร้างผู้ใช้ใหม่โดย Admin,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า User Management UI","New User Name: Test User

New User Email: testuser@company.com

Role: User","1. Admin คลิกปุ่ม ""Add New User"" 

2. กรอกชื่อผู้ใช้ใหม่ในช่อง Full Name

3. กรอก Email ผู้ใช้ใหม่ในช่อง Email

4. เลือกบทบาท (Role) ที่ต้องการกำหนด

5. คลิกปุ่ม ""Send Invite""","1. ระบบสร้างบัญชีผู้ใช้ใหม่ในฐานข้อมูล Application PostgreSQL สำเร็จ

2. ระบบสร้างรหัสผ่านชั่วคราว (Temporary Password) และแสดงให้ Admin

3. ระบบส่งอีเมลเชิญ (Invitation Email) ไปยังผู้ใช้ใหม่

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ User Created สำเร็จ

5. ผู้ใช้ใหม่ปรากฏในรายชื่อผู้ใช้ในหน้า User Management พร้อมสถานะ Pending",,,
TC-USR-002,BR-001,FR-04,Create User - Duplicate Email,ตรวจสอบการจัดการเมื่อ Admin พยายามสร้างผู้ใช้ด้วย Email ที่มีอยู่แล้ว,Functional Testing / Negative Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า User Management UI

3. มีผู้ใช้ที่ใช้ Email นี้อยู่แล้วในระบบ","New User Name: Another User

New User Email: existinguser@company.com (ซ้ำ)

Role: User","1. Admin คลิกปุ่ม ""Add New User"" 

2. กรอกชื่อผู้ใช้ใหม่ในช่อง Full Name

3. กรอก Email ที่มีอยู่แล้วในระบบ

4. เลือกบทบาท (Role) ที่ต้องการกำหนด

5. คลิกปุ่ม ""Send Invite""","1. ระบบตรวจพบว่า Email นี้มีอยู่ในระบบแล้ว

2. หน้าจอ UI แสดงข้อความแจ้งเตือน ""Email already exists in the system""

3. ระบบไม่สร้างบัญชีผู้ใช้ใหม่

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ User Creation Failed เนื่องจาก Duplicate Email",,,
TC-USR-003,BR-001,FR-04,Edit User Role,ตรวจสอบความถูกต้องในการแก้ไขบทบาทของผู้ใช้โดย Admin,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า User Management UI

3. มีผู้ใช้ที่ต้องการแก้ไขบทบาทอยู่ในระบบ","Target User: testuser@company.com

Current Role: User

New Role: Data Analyst","1. Admin ค้นหาผู้ใช้ที่ต้องการแก้ไขในรายชื่อ

2. คลิกที่ Dropdown เลือกบทบาทของผู้ใช้นั้น

3. เลือกบทบาทใหม่ (เช่น เปลี่ยนจาก User เป็น Data Analyst)

4. ระบบบันทึกการเปลี่ยนแปลงอัตโนมัติ","1. ระบบอัปเดตบทบาทของผู้ใช้ในฐานข้อมูลสำเร็จ

2. สิทธิ์การเข้าถึงของผู้ใช้ถูกปรับปรุงตามบทบาทใหม่ทันที

3. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Role Modified พร้อมรายละเอียดบทบาทเก่าและใหม่

4. ผู้ใช้จะได้รับสิทธิ์ใหม่เมื่อล็อกอินครั้งต่อไป",,,
TC-USR-004,BR-001,FR-06,Suspend User Account,ตรวจสอบความถูกต้องในการระงับบัญชีผู้ใช้โดย Admin,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า User Management UI

3. มีผู้ใช้ที่มีสถานะ Active อยู่ในระบบ","Target User: problematicuser@company.com

Current Status: Active","1. Admin ค้นหาผู้ใช้ที่ต้องการระงับในรายชื่อ

2. คลิกที่ปุ่ม Actions (More Vertical) ของผู้ใช้นั้น

3. เลือก ""Suspend User"" จากเมนู dropdown

4. ยืนยันการระงับบัญชีเมื่อระบบแจ้งเตือน","1. ระบบอัปเดตสถานะผู้ใช้เป็น Suspended ในฐานข้อมูลสำเร็จ

2. ผู้ใช้ไม่สามารถล็อกอินเข้าสู่ระบบได้อีก

3. Session ที่กำลังใช้งานอยู่ของผู้ใช้จะถูกยกเลิกทันที

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Account Suspended สำเร็จ",,,
TC-USR-005,BR-001,FR-06,Reactivate User Account,ตรวจสอบความถูกต้องในการเปิดใช้งานบัญชีผู้ใช้ที่ถูกระงับโดย Admin,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า User Management UI

3. มีผู้ใช้ที่มีสถานะ Suspended อยู่ในระบบ","Target User: problematicuser@company.com

Current Status: Suspended","1. Admin ค้นหาผู้ใช้ที่ต้องการเปิดใช้งานในรายชื่อ

2. คลิกที่ปุ่ม Actions (More Vertical) ของผู้ใช้นั้น

3. เลือก ""Reactivate User"" จากเมนู dropdown

4. ยืนยันการเปิดใช้งานบัญชีเมื่อระบบแจ้งเตือน","1. ระบบอัปเดตสถานะผู้ใช้เป็น Active ในฐานข้อมูลสำเร็จ

2. ผู้ใช้สามารถล็อกอินเข้าสู่ระบบได้อีกครั้ง

3. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Account Reactivated สำเร็จ",,,
TC-USR-006,BR-001,FR-04,Search and Filter Users,ตรวจสอบความถูกต้องในการค้นหาและกรองผู้ใช้ในหน้า User Management,Functional Testing / UI Testing,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า User Management UI

3. มีผู้ใช้หลายคนในระบบ","Search Keyword: ""analyst""

Role Filter: ""Data Analyst""

Status Filter: ""Active""","1. Admin พิมพ์คำค้นหาในช่อง Search

2. Admin เลือก Role Filter จาก dropdown

3. Admin เลือก Status Filter จาก dropdown

4. ระบบแสดงผลลัพธ์การค้นหาและกรอง","1. ระบบแสดงรายชื่อผู้ใช้ที่ตรงตามเงื่อนไขการค้นหาและกรองทั้งหมด

2. ผลลัพธ์แสดงเฉพาะผู้ใช้ที่มีคำว่า ""analyst"" ในชื่อหรือ Email

3. ผลลัพธ์แสดงเฉพาะผู้ใช้ที่มีบทบาทเป็น Data Analyst

4. ผลลัพธ์แสดงเฉพาะผู้ใช้ที่มีสถานะ Active

5. ระบบแสดงจำนวนผู้ใช้ที่พบตามเงื่อนไข",,,
TC-USR-007,BR-013,FR-08,View User Usage Analytics,ตรวจสอบความถูกต้องในการดูสถิติการใช้งานของผู้ใช้แต่ละราย,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า User Management UI

3. มีผู้ใช้ที่มีข้อมูลการใช้งานในระบบ",Target User: testuser@company.com,"1. Admin คลิกที่ปุ่ม Actions (More Vertical) ของผู้ใช้ที่ต้องการดู

2. เลือก ""Usage Stats"" จากเมนู dropdown

3. ระบบแสดง Drawer สถิติการใช้งานทางด้านขวา","1. ระบบแสดง Drawer สถิติการใช้งานของผู้ใช้ทางด้านขวาสำเร็จ

2. แสดงข้อมูล: จำนวน Query ที่รัน, Token ที่ใช้, Latency เฉลี่ย, โมเดลที่ใช้บ่อย, ค่าใช้จ่ายรายเดือน

3. แสดงกราฟแนวโน้มการใช้งานในช่วง 7 วันย้อนหลัง

4. ข้อมูลที่แสดงตรงตามข้อมูลจริงในระบบ",,,
TC-USR-008,BR-001,FR-04,Reset User Password,ตรวจสอบการรีเซ็ตรหัสผ่านผู้ใช้โดย Admin,Functional Testing / Positive Test,1. Admin ล็อกอิน 2. มีผู้ใช้ที่ต้องการรีเซ็ต,Target: testuser@company.com,"1. คลิก Actions > Reset Password
2. ยืนยันการรีเซ็ต","1. ระบบสร้าง Temporary Password ใหม่
2. ระบบตั้งค่า must_change_password = true
3. ระบบทำลาย Session เดิมของผู้ใช้
4. ระบบบันทึก Audit Log Password Reset",,,
TC-USR-009,BR-001,FR-04,Delete User Account,ตรวจสอบการลบบัญชีผู้ใช้โดย Admin,Functional Testing / Positive Test,1. Admin ล็อกอิน 2. มีผู้ใช้ที่ต้องการลบ,Target: olduser@company.com,"1. คลิก Actions > Delete
2. ยืนยันการลบ","1. ระบบลบ/ปิดบัญชีผู้ใช้สำเร็จ
2. ผู้ใช้ไม่ปรากฏในรายชื่อ
3. Session ทั้งหมดถูกทำลาย
4. ระบบบันทึก Audit Log User Deleted",,,
TC-USR-010,BR-001,FR-04,User Pagination,ตรวจสอบการแบ่งหน้ารายชื่อผู้ใช้,Functional Testing / UI Testing,1. มีผู้ใช้มากกว่า 20 คน,"Page: 1, Limit: 20","1. เปิดหน้า User Management
2. เลื่อนไปหน้าถัดไป","1. ระบบแสดง 20 รายการต่อหน้า
2. สามารถเปลี่ยนหน้าได้
3. จำนวนทั้งหมดแสดงถูกต้อง",,,
TC-USR-011,BR-001,FR-04,Invite User - Invalid Email,ตรวจสอบการปฏิเสธเมื่อกรอก Email ไม่ถูกต้อง,Functional Testing / Negative Test,1. Admin อยู่ที่หน้า User Management,"Email: ""invalid-email""","1. คลิก ""Add New User""
2. กรอก Email ไม่ถูกต้อง
3. คลิก ""Send Invite""","1. ระบบแสดง ""Invalid email format""
2. ระบบไม่สร้างบัญชี
3. ปุ่ม Send Invite ถูก Disable",,,
Roles,,,,,,,,,,,,
TC-ROLE-001,BR-001,FR-04,Create New Role,ตรวจสอบความถูกต้องในการสร้างบทบาทใหม่โดย Admin,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Role Configuration UI","New Role Name: Data Engineer

Description: Role for data engineering tasks","1. Admin คลิกปุ่ม ""Create New Role"" 

2. กรอกชื่อบทบาทใหม่ในช่อง Role Name

3. กรอกรายละเอียดบทบาทในช่อง Description

4. คลิกปุ่ม ""Create Role""","1. ระบบสร้างบทบาทใหม่ในฐานข้อมูลสำเร็จ

2. บทบาทใหม่ปรากฏในรายชื่อบทบาททางด้านซ้าย

3. บทบาทใหม่มีสิทธิ์เริ่มต้นเป็น Default Deny (สิทธิ์ที่มีความเสี่ยงสูงถูกปิดใช้งาน)

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Role Created สำเร็จ",,,
TC-ROLE-002,BR-001,FR-04,Create Role - Duplicate Name,ตรวจสอบการจัดการเมื่อ Admin พยายามสร้างบทบาทด้วยชื่อที่มีอยู่แล้ว,Functional Testing / Negative Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Role Configuration UI

3. มีบทบาทที่ชื่อเดียวกันอยู่แล้วในระบบ","New Role Name: Admin (ซ้ำ)

Description: Duplicate role","1. Admin คลิกปุ่ม ""Create New Role"" 

2. กรอกชื่อบทบาทที่มีอยู่แล้วในระบบ

3. กรอกรายละเอียดบทบาท

4. คลิกปุ่ม ""Create Role""","1. ระบบตรวจพบว่าชื่อบทบาทนี้มีอยู่ในระบบแล้ว

2. หน้าจอ UI แสดงข้อความแจ้งเตือน ""Role name already exists""

3. ระบบไม่สร้างบทบาทใหม่

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Role Creation Failed เนื่องจาก Duplicate Name",,,
TC-ROLE-003,BR-001,FR-04,Edit Role Permissions,ตรวจสอบความถูกต้องในการแก้ไขสิทธิ์ของบทบาทโดย Admin,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Role Configuration UI

3. Admin เลือกบทบาทที่ต้องการแก้ไข","Target Role: Data Analyst

Permission to Edit: Execute Queries

New Value: Enable (Checked)","1. Admin คลิกที่บทบาทที่ต้องการแก้ไขในรายชื่อทางซ้าย

2. คลิก checkbox ของสิทธิ์ที่ต้องการแก้ไขใน Permission Matrix

3. คลิกปุ่ม ""Save Changes""","1. ระบบอัปเดตสิทธิ์ของบทบาทในฐานข้อมูลสำเร็จ

2. ผู้ใช้ทั้งหมดที่มีบทบาทนี้จะได้รับสิทธิ์ใหม่ทันที

3. ระบบแสดง Toast Notification ""Permissions Saved Successfully!""

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Role Permissions Modified พร้อมรายละเอียดสิทธิ์ที่เปลี่ยนแปลง",,,
TC-ROLE-004,BR-001,FR-04,Reset Role Permissions to Default,ตรวจสอบความถูกต้องในการรีเซ็ตสิทธิ์บทบาทกลับค่าเริ่มต้น,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Role Configuration UI

3. Admin ได้ทำการแก้ไขสิทธิ์บทบาทไปแล้ว",Target Role: Data Analyst,"1. Admin คลิกที่บทบาทที่ต้องการรีเซ็ต

2. คลิกปุ่ม ""Reset Defaults""

3. ยืนยันการรีเซ็ตเมื่อระบบแจ้งเตือน","1. ระบบรีเซ็ตสิทธิ์ของบทบาทกลับเป็นค่าเริ่มต้นสำเร็จ

2. สิทธิ์ทั้งหมดกลับสู่สถานะ Default ตามค่ากำหนดในระบบ

3. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Role Permissions Reset สำเร็จ",,,
TC-ROLE-005,BR-001,FR-04,View Permission Matrix,ตรวจสอบความถูกต้องในการดูตารางสิทธิ์ (Permission Matrix),Functional Testing / UI Testing,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Role Configuration UI",N/A,"1. Admin คลิกที่บทบาทใดๆ ในรายชื่อทางซ้าย

2. ระบบแสดง Permission Matrix ทางด้านขวา","1. ระบบแสดงตารางสิทธิ์ (Permission Matrix) สำเร็จ

2. ตารางแสดงสิทธิ์ทั้งหมดแบ่งตามหมวดหมู่ (DATA ACCESS, MANAGEMENT, AI FEATURES)

3. ตารางแสดงสถานะสิทธิ์ของแต่ละบทบาท (Checked/Unchecked) อย่างถูกต้อง

4. ข้อมูลที่แสดงตรงตามข้อมูลจริงในฐานข้อมูล",,,
TC-ROLE-006,BR-013,FR-08,Permission Change Audit Log,ตรวจสอบการบันทึกประวัติเหตุการณ์เมื่อมีการเปลี่ยนแปลงสิทธิ์บทบาท,Functional Testing / Log Verification,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Role Configuration UI

3. Admin ทำการเปลี่ยนแปลงสิทธิ์บทบาท","Target Role: Data Analyst

Changed Permission: Execute Queries","1. Admin แก้ไขสิทธิ์บทบาทใดๆ

2. คลิกปุ่ม ""Save Changes""

3. ตรวจสอบตารางประวัติระบบ (Audit Log Table)","1. ระบบต้องทำการบันทึกข้อมูลการเปลี่ยนสิทธิ์ทันทีหลังกดบันทึกความต้องการบนหน้าจอ

2. Log ต้องระบุข้อมูล Admin ที่เปลี่ยนสิทธิ์, บทบาทที่ถูกเปลี่ยน, สิทธิ์ที่เปลี่ยน, ค่าเก่า, ค่าใหม่, และวันเวลาที่ทำรายการครบถ้วน

3. ข้อมูลประวัติต้องระบุ Correlation ID, IP Address, และ Timestamp อย่างถูกต้อง",,,
Data Sources,,,,,,,,,,,,
TC-DS-001,BR-001,FR-17,Add Data Source,ตรวจสอบความถูกต้องในการเพิ่มแหล่งข้อมูลใหม่โดย Admin,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Data Source Management UI","Data Source Type: PostgreSQL

Host: db.example.com

Port: 5432

Database: sales_dw

Username: readonly_user

Password: ********","1. Admin คลิกปุ่ม ""Add Data Source"" 

2. เลือกประเภทแหล่งข้อมูล (PostgreSQL, Snowflake, BigQuery)

3. กรอกข้อมูลการเชื่อมต่อ (Host, Port, Database, Username, Password)

4. คลิกปุ่ม ""Test Connection"" เพื่อทดสอบการเชื่อมต่อ

5. คลิกปุ่ม ""Save"" เมื่อการเชื่อมต่อสำเร็จ","1. ระบบทดสอบการเชื่อมต่อกับแหล่งข้อมูลสำเร็จ

2. ระบบบันทึกข้อมูลแหล่งข้อมูลใหม่ในฐานข้อมูลสำเร็จ

3. ข้อมูลรหัสผ่านถูกเข้ารหัสด้วย AES-256 ก่อนบันทึก

4. แหล่งข้อมูลใหม่ปรากฏในรายชื่อแหล่งข้อมูล

5. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Data Source Added สำเร็จ",,,
TC-DS-002,BR-001,FR-17,Test Data Source Connection,ตรวจสอบความถูกต้องในการทดสอบการเชื่อมต่อแหล่งข้อมูล,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Data Source Management UI

3. มีแหล่งข้อมูลที่ต้องการทดสอบอยู่ในระบบ",Target Data Source: Sales DW,"1. Admin คลิกที่แหล่งข้อมูลที่ต้องการทดสอบ

2. คลิกปุ่ม ""Test Connection""","1. ระบบทดสอบการเชื่อมต่อกับแหล่งข้อมูลสำเร็จ

2. ระบบแสดงสถานะ ""Connection Successful"" พร้อมเวลาที่ใช้ในการเชื่อมต่อ

3. ระบบแสดงข้อมูล Schema พื้นฐานของแหล่งข้อมูล (จำนวนตาราง, ฟิลด์)

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Connection Test สำเร็จ",,,
TC-DS-003,BR-001,FR-17,Test Data Source Connection - Failed,ตรวจสอบการจัดการเมื่อการทดสอบการเชื่อมต่อแหล่งข้อมูลล้มเหลว,Functional Testing / Negative Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Data Source Management UI

3. มีแหล่งข้อมูลที่ข้อมูลการเชื่อมต่อไม่ถูกต้อง","Target Data Source: Invalid DW

Invalid Credentials","1. Admin คลิกที่แหล่งข้อมูลที่ต้องการทดสอบ

2. คลิกปุ่ม ""Test Connection""","1. ระบบทดสอบการเชื่อมต่อกับแหล่งข้อมูลล้มเหลว

2. ระบบแสดงสถานะ ""Connection Failed"" พร้อมข้อความแจ้งเตือนที่เหมาะสม

3. ระบบไม่บันทึกแหล่งข้อมูลที่เชื่อมต่อไม่ได้

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Connection Test Failed",,,
TC-DS-004,BR-001,FR-17,Edit Data Source,ตรวจสอบความถูกต้องในการแก้ไขข้อมูลแหล่งข้อมูลโดย Admin,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Data Source Management UI

3. มีแหล่งข้อมูลที่ต้องการแก้ไขอยู่ในระบบ","Target Data Source: Sales DW

New Password: ********new","1. Admin คลิกที่แหล่งข้อมูลที่ต้องการแก้ไข

2. คลิกปุ่ม ""Edit"" 

3. แก้ไขข้อมูลการเชื่อมต่อ (เช่น เปลี่ยนรหัสผ่าน)

4. คลิกปุ่ม ""Test Connection"" เพื่อทดสอบการเชื่อมต่อ

5. คลิกปุ่ม ""Save"" เมื่อการเชื่อมต่อสำเร็จ","1. ระบบอัปเดตข้อมูลแหล่งข้อมูลในฐานข้อมูลสำเร็จ

2. ข้อมูลรหัสผ่านใหม่ถูกเข้ารหัสด้วย AES-256 ก่อนบันทึก

3. ระบบทดสอบการเชื่อมต่อใหม่สำเร็จ

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Data Source Modified สำเร็จ",,,
TC-DS-005,BR-001,FR-17,Delete Data Source,ตรวจสอบความถูกต้องในการลบแหล่งข้อมูลโดย Admin,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Data Source Management UI

3. มีแหล่งข้อมูลที่ต้องการลบอยู่ในระบบ",Target Data Source: Old DW,"1. Admin คลิกที่แหล่งข้อมูลที่ต้องการลบ

2. คลิกปุ่ม ""Delete"" 

3. ยืนยันการลบเมื่อระบบแจ้งเตือน","1. ระบบลบแหล่งข้อมูลออกจากฐานข้อมูลสำเร็จ

2. แหล่งข้อมูลไม่ปรากฏในรายชื่อแหล่งข้อมูลแล้ว

3. Query ที่เชื่อมโยงกับแหล่งข้อมูลนี้จะไม่สามารถรันได้

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Data Source Deleted สำเร็จ",,,
TC-DS-006,BR-001,FR-17,View Data Source Schema,ตรวจสอบความถูกต้องในการดู Schema ของแหล่งข้อมูล,Functional Testing / Positive Test,"1. Admin ล็อกอินเข้าระบบเรียบร้อยแล้ว

2. Admin อยู่ที่หน้า Data Source Management UI

3. มีแหล่งข้อมูลที่เชื่อมต่อได้อยู่ในระบบ",Target Data Source: Sales DW,"1. Admin คลิกที่แหล่งข้อมูลที่ต้องการดู Schema

2. คลิกปุ่ม ""View Schema""","1. ระบบแสดง Schema ของแหล่งข้อมูลสำเร็จ

2. แสดงรายชื่อตารางทั้งหมดในแหล่งข้อมูล

3. แสดงโครงสร้างฟิลด์ (Columns) และประเภทข้อมูล (Data Types) ของแต่ละตาราง

4. ข้อมูล Schema ที่แสดงตรงตามข้อมูลจริงในแหล่งข้อมูล",,,
TC-DS-007,BR-001,FR-17,Add Data Source - Duplicate Name,ตรวจสอบการปฏิเสธเมื่อเพิ่ม Data Source ชื่อซ้ำ,Functional Testing / Negative Test,1. มี Data Source ชื่อนี้อยู่แล้ว,"Name: ""Sales DW"" (ซ้ำ)","1. คลิก ""Add Data Source""
2. กรอกชื่อที่ซ้ำ
3. คลิก ""Save""","1. ระบบแสดง ""Data source name already exists""
2. ระบบไม่สร้าง Data Source ใหม่",,,
TC-DS-008,BR-001,FR-17,Toggle Data Source Status,ตรวจสอบการเปิด/ปิดสถานะ Data Source,Functional Testing / Positive Test,1. มี Data Source ในระบบ,"Target: Sales DW
Action: Disable","1. คลิก Toggle บน Data Source
2. ยืนยันการเปลี่ยนสถานะ","1. ระบบเปลี่ยนสถานะสำเร็จ
2. Data Source ที่ Disabled ไม่สามารถใช้ Query ได้
3. ระบบบันทึก Audit Log",,,
TC-DS-009,BR-001,FR-17,View Data Source List,ตรวจสอบการแสดงรายการ Data Source ทั้งหมด,Functional Testing / Positive Test,1. Admin ล็อกอิน 2. มี Data Source ในระบบ,N/A,1. ไปที่หน้า Data Source Management,"1. ระบบแสดงรายการ Data Source
2. แสดง: ชื่อ, ประเภท, สถานะ, เวลาเชื่อมต่อล่าสุด
3. สามารถค้นหา/กรองได้",,,
AI Models,,,,,,,,,,,,
